Experiment,Year,TestingDate,Species,Genotype,SpecimenID,PlotNumber,PlantNumber,PlantAge,TissueType,Operator,RootSampleNumber,Whorl.or.Internode_Number,Vertical.Specimen.Diameter,Horizontal.Specimen.Diameter,Specimen.Length,line_raw_slope_N.mm,raw_data_file,Notes
NSF-BMMB,2024,9/6/24,Maize,CML258,17,236,5,109 dap,Stalk,Irene,,,21.84,24.83,300,87.758917,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,18,236,7,109 dap,Stalk,Irene,,,24.84,29.71,300,137.24436,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,2,234,7,109 dap,Stalk,Irene,,,26.48,30.26,300,131.12846,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,3,234,3,109 dap,Stalk,Irene,,,23.68,27.92,300,97.80394,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,4,234,8,109 dap,Stalk,Irene,,,23.31,26.82,300,100.65356,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,5,234,10,109 dap,Stalk,Irene,,,24.55,28.01,300,101.332672,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,6,234,12,109 dap,Stalk,Irene,,,21.38,25.14,300,85.703672,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,7,234,9,109 dap,Stalk,Irene,,,23.61,26.66,300,91.0366,Week 15 Stalk bending moduli_1.csv,node
NSF-BMMB,2024,9/6/24,Maize,CML258,8,234,5,109 dap,Stalk,Irene,,,22.74,26.8,300,91.93582,Week 15 Stalk bending moduli_1.csv,
NSF-BMMB,2024,9/6/24,Maize,CML258,9,234,2,109 dap,Stalk,Irene,,,21.75,24.62,300,89.866993,Week 15 Stalk bending moduli_1.csv,
